 Drosophila Celegans
0 "gi|671162298|ref|NP_001288144.1| unextended, isoform H [Drosophila melanogaster]" "gi|392925573|ref|NP_508521.2| Protein C33D12.2 [Caenorhabditis elegans]"
2943 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392921742|ref|NP_001256559.1| Protein PAR-1, isoform f [Caenorhabditis elegans]"
2944 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392921746|ref|NP_001256561.1| Protein PAR-1, isoform g [Caenorhabditis elegans]"
2945 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392921754|ref|NP_001256565.1| Protein PAR-1, isoform e [Caenorhabditis elegans]"
2946 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392900824|ref|NP_001255553.1| Protein KIN-4, isoform d [Caenorhabditis elegans]"
2947 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392900820|ref|NP_001255551.1| Protein KIN-4, isoform g [Caenorhabditis elegans]"
2948 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392900822|ref|NP_001255552.1| Protein KIN-4, isoform c [Caenorhabditis elegans]"
2949 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392900828|ref|NP_001255555.1| Protein KIN-4, isoform f [Caenorhabditis elegans]"
2950 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392900826|ref|NP_001255554.1| Protein KIN-4, isoform e [Caenorhabditis elegans]"
2951 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392900832|ref|NP_001255557.1| Protein KIN-4, isoform a [Caenorhabditis elegans]"
2952 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392900834|ref|NP_001255558.1| Protein KIN-4, isoform b [Caenorhabditis elegans]"
2953 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392900830|ref|NP_001255556.1| Protein KIN-4, isoform h [Caenorhabditis elegans]"
2954 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392899418|ref|NP_501185.5| Protein UNC-82, isoform a [Caenorhabditis elegans]"
2955 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392899408|ref|NP_501186.5| Protein UNC-82, isoform b [Caenorhabditis elegans]"
2956 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392899406|ref|NP_001255294.1| Protein UNC-82, isoform e [Caenorhabditis elegans]"
2957 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392899412|ref|NP_001255296.1| Protein UNC-82, isoform d [Caenorhabditis elegans]"
2958 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392899410|ref|NP_001255295.1| Protein UNC-82, isoform f [Caenorhabditis elegans]"
2959 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392899416|ref|NP_001255298.1| Protein UNC-82, isoform h [Caenorhabditis elegans]"
2960 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392899414|ref|NP_001255297.1| Protein UNC-82, isoform g [Caenorhabditis elegans]"
2961 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392920994|ref|NP_001256395.1| Protein PKC-1, isoform a [Caenorhabditis elegans]"
2962 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392920996|ref|NP_001256396.1| Protein PKC-1, isoform c [Caenorhabditis elegans]"
2963 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392920992|ref|NP_001256394.1| Protein PKC-1, isoform b [Caenorhabditis elegans]"
2964 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392896184|ref|NP_001255017.1| Protein TLK-1, isoform d [Caenorhabditis elegans]"
2965 "gi|665390767|ref|NP_996411.2| Death-associated protein kinase related, isoform E [Drosophila melanogaster]" "gi|392896679|ref|NP_499447.2| Protein RSKS-1 [Caenorhabditis elegans]"
2966 "gi|665390758|ref|NP_727531.2| Cyp4g15, isoform C [Drosophila melanogaster]" "gi|392901560|ref|NP_001255738.1| Protein CYP-31A5, isoform a [Caenorhabditis elegans]"
2967 "gi|665390758|ref|NP_727531.2| Cyp4g15, isoform C [Drosophila melanogaster]" "gi|392901562|ref|NP_001255739.1| Protein CYP-31A5, isoform b [Caenorhabditis elegans]"
2968 "gi|665390752|ref|NP_001285123.1| glutamine synthetase 2, isoform F [Drosophila melanogaster]" "gi|392926183|ref|NP_509012.2| Protein GLN-1 [Caenorhabditis elegans]"
2969 "gi|665390752|ref|NP_001285123.1| glutamine synthetase 2, isoform F [Drosophila melanogaster]" "gi|392902061|ref|NP_001255883.1| Protein GLN-3, isoform c [Caenorhabditis elegans]"
2970 "gi|665390750|ref|NP_001285122.1| glutamine synthetase 2, isoform E [Drosophila melanogaster]" "gi|392926183|ref|NP_509012.2| Protein GLN-1 [Caenorhabditis elegans]"
2971 "gi|665390750|ref|NP_001285122.1| glutamine synthetase 2, isoform E [Drosophila melanogaster]" "gi|392902061|ref|NP_001255883.1| Protein GLN-3, isoform c [Caenorhabditis elegans]"
2972 "gi|665390748|ref|NP_001285121.1| glutamine synthetase 2, isoform D [Drosophila melanogaster]" "gi|392926183|ref|NP_509012.2| Protein GLN-1 [Caenorhabditis elegans]"
2973 "gi|665390748|ref|NP_001285121.1| glutamine synthetase 2, isoform D [Drosophila melanogaster]" "gi|392902061|ref|NP_001255883.1| Protein GLN-3, isoform c [Caenorhabditis elegans]"
2974 "gi|665390719|ref|NP_727507.2| CG44422, isoform F [Drosophila melanogaster]" "gi|392927023|ref|NP_509708.2| Protein NCS-4, isoform a [Caenorhabditis elegans]"
2975 "gi|665390719|ref|NP_727507.2| CG44422, isoform F [Drosophila melanogaster]" "gi|453232854|ref|NP_001263968.1| Protein NCS-4, isoform c [Caenorhabditis elegans]"
2976 "gi|665390717|ref|NP_001285117.1| CG44422, isoform E [Drosophila melanogaster]" "gi|392927023|ref|NP_509708.2| Protein NCS-4, isoform a [Caenorhabditis elegans]"
2977 "gi|665390717|ref|NP_001285117.1| CG44422, isoform E [Drosophila melanogaster]" "gi|453232854|ref|NP_001263968.1| Protein NCS-4, isoform c [Caenorhabditis elegans]"
2978 "gi|665390686|ref|NP_001285109.1| Kinesin-like protein at 10A, isoform F [Drosophila melanogaster]" "gi|392926164|ref|NP_001257034.1| Protein KLP-13, isoform c [Caenorhabditis elegans]"
2979 "gi|665390686|ref|NP_001285109.1| Kinesin-like protein at 10A, isoform F [Drosophila melanogaster]" "gi|392899779|ref|NP_001255329.1| Protein KLP-11, isoform e [Caenorhabditis elegans]"
2980 "gi|665390686|ref|NP_001285109.1| Kinesin-like protein at 10A, isoform F [Drosophila melanogaster]" "gi|453231794|ref|NP_741019.3| Protein UNC-104, isoform a [Caenorhabditis elegans]"
2981 "gi|665390686|ref|NP_001285109.1| Kinesin-like protein at 10A, isoform F [Drosophila melanogaster]" "gi|453231792|ref|NP_001022041.2| Protein UNC-104, isoform b [Caenorhabditis elegans]"
2982 "gi|665390686|ref|NP_001285109.1| Kinesin-like protein at 10A, isoform F [Drosophila melanogaster]" "gi|392921856|ref|NP_001256587.1| Protein BMK-1, isoform b [Caenorhabditis elegans]"
2983 "gi|665390686|ref|NP_001285109.1| Kinesin-like protein at 10A, isoform F [Drosophila melanogaster]" "gi|392921854|ref|NP_001256586.1| Protein BMK-1, isoform a [Caenorhabditis elegans]"
2984 "gi|665390682|ref|NP_001285108.1| regulatory particle triple-A ATPase 3, isoform B [Drosophila melanogaster]" "gi|392896460|ref|NP_499298.2| Protein YMEL-1 [Caenorhabditis elegans]"
2985 "gi|665390682|ref|NP_001285108.1| regulatory particle triple-A ATPase 3, isoform B [Drosophila melanogaster]" "gi|392919885|ref|NP_001256115.1| Protein SPAS-1, isoform c [Caenorhabditis elegans]"
2986 "gi|665390660|ref|NP_001285103.1| myosin 10A, isoform F [Drosophila melanogaster]" "gi|392927368|ref|NP_001257157.1| Protein HUM-4, isoform a [Caenorhabditis elegans]"
2987 "gi|665390660|ref|NP_001285103.1| myosin 10A, isoform F [Drosophila melanogaster]" "gi|392927374|ref|NP_001257160.1| Protein HUM-4, isoform c [Caenorhabditis elegans]"
2988 "gi|665390660|ref|NP_001285103.1| myosin 10A, isoform F [Drosophila melanogaster]" "gi|392927372|ref|NP_001257159.1| Protein HUM-4, isoform e [Caenorhabditis elegans]"
2989 "gi|665390660|ref|NP_001285103.1| myosin 10A, isoform F [Drosophila melanogaster]" "gi|392927376|ref|NP_001257161.1| Protein HUM-4, isoform b [Caenorhabditis elegans]"
2990 "gi|665390660|ref|NP_001285103.1| myosin 10A, isoform F [Drosophila melanogaster]" "gi|392927370|ref|NP_001257158.1| Protein HUM-4, isoform d [Caenorhabditis elegans]"
2991 "gi|665390654|ref|NP_001285100.1| CG15208, isoform C [Drosophila melanogaster]" "gi|392895750|ref|NP_498812.2| Protein F09G8.5 [Caenorhabditis elegans]"
2992 "gi|665390652|ref|NP_001285099.1| CG15208, isoform B [Drosophila melanogaster]" "gi|392895750|ref|NP_498812.2| Protein F09G8.5 [Caenorhabditis elegans]"
2993 "gi|665390649|ref|NP_001285098.1| CG1582, isoform B [Drosophila melanogaster]" "gi|392898679|ref|NP_500405.3| Protein SMGL-2 [Caenorhabditis elegans]"
2994 "gi|665390641|ref|NP_001285095.1| CG1637, isoform D [Drosophila melanogaster]" "gi|392922192|ref|NP_001256672.1| Protein F21A3.11 [Caenorhabditis elegans]"
2995 "gi|665390641|ref|NP_001285095.1| CG1637, isoform D [Drosophila melanogaster]" "gi|392921259|ref|NP_001256452.1| Protein F18E2.1, isoform a [Caenorhabditis elegans]"
2996 "gi|665390641|ref|NP_001285095.1| CG1637, isoform D [Drosophila melanogaster]" "gi|392921261|ref|NP_001256453.1| Protein F18E2.1, isoform b [Caenorhabditis elegans]"
2997 "gi|665390641|ref|NP_001285095.1| CG1637, isoform D [Drosophila melanogaster]" "gi|392902066|ref|NP_502920.3| Protein H25K10.1 [Caenorhabditis elegans]"
2998 "gi|665390639|ref|NP_001285094.1| CG1637, isoform E [Drosophila melanogaster]" "gi|392922192|ref|NP_001256672.1| Protein F21A3.11 [Caenorhabditis elegans]"
2999 "gi|665390639|ref|NP_001285094.1| CG1637, isoform E [Drosophila melanogaster]" "gi|392921259|ref|NP_001256452.1| Protein F18E2.1, isoform a [Caenorhabditis elegans]"
3000 "gi|665390639|ref|NP_001285094.1| CG1637, isoform E [Drosophila melanogaster]" "gi|392921261|ref|NP_001256453.1| Protein F18E2.1, isoform b [Caenorhabditis elegans]"
3001 "gi|665390639|ref|NP_001285094.1| CG1637, isoform E [Drosophila melanogaster]" "gi|392902066|ref|NP_502920.3| Protein H25K10.1 [Caenorhabditis elegans]"
3002 "gi|665390621|ref|NP_001285091.1| IGF-II mRNA-binding protein, isoform M [Drosophila melanogaster]" "gi|453231918|ref|NP_001263701.1| Protein M88.5, isoform d [Caenorhabditis elegans]"
3003 "gi|665390621|ref|NP_001285091.1| IGF-II mRNA-binding protein, isoform M [Drosophila melanogaster]" "gi|453231916|ref|NP_001263700.1| Protein M88.5, isoform c [Caenorhabditis elegans]"
3004 "gi|665390619|ref|NP_001285090.1| stress-sensitive B, isoform E [Drosophila melanogaster]" "gi|392897163|ref|NP_001255204.1| Protein ANT-1.1, isoform d [Caenorhabditis elegans]"
3005 "gi|665390619|ref|NP_001285090.1| stress-sensitive B, isoform E [Drosophila melanogaster]" "gi|392920887|ref|NP_001256365.1| Protein F55A11.4, isoform a [Caenorhabditis elegans]"
3006 "gi|665390601|ref|NP_524646.5| raspberry, isoform E [Drosophila melanogaster]" "gi|392899300|ref|NP_001023396.2| Protein T22D1.3, isoform b [Caenorhabditis elegans]"
3007 "gi|665390468|ref|NP_001285060.1| CG3106, isoform B [Drosophila melanogaster]" "gi|392922360|ref|NP_507114.2| Protein OAC-5 [Caenorhabditis elegans]"
3008 "gi|665390468|ref|NP_001285060.1| CG3106, isoform B [Drosophila melanogaster]" "gi|392891029|ref|NP_495886.2| Protein OAC-46 [Caenorhabditis elegans]"
3009 "gi|665390446|ref|NP_572563.3| megalin, isoform E [Drosophila melanogaster]" "gi|392921320|ref|NP_001256466.1| Protein NID-1, isoform b [Caenorhabditis elegans]"
3010 "gi|665390446|ref|NP_572563.3| megalin, isoform E [Drosophila melanogaster]" "gi|392921318|ref|NP_001256465.1| Protein NID-1, isoform a [Caenorhabditis elegans]"
3011 "gi|665390446|ref|NP_572563.3| megalin, isoform E [Drosophila melanogaster]" "gi|392921322|ref|NP_001256467.1| Protein NID-1, isoform c [Caenorhabditis elegans]"
3012 "gi|665390444|ref|NP_001285054.1| megalin, isoform D [Drosophila melanogaster]" "gi|392921320|ref|NP_001256466.1| Protein NID-1, isoform b [Caenorhabditis elegans]"
3013 "gi|665390444|ref|NP_001285054.1| megalin, isoform D [Drosophila melanogaster]" "gi|392921318|ref|NP_001256465.1| Protein NID-1, isoform a [Caenorhabditis elegans]"
3014 "gi|665390444|ref|NP_001285054.1| megalin, isoform D [Drosophila melanogaster]" "gi|392921322|ref|NP_001256467.1| Protein NID-1, isoform c [Caenorhabditis elegans]"
3015 "gi|665390442|ref|NP_001285053.1| megalin, isoform C [Drosophila melanogaster]" "gi|392921320|ref|NP_001256466.1| Protein NID-1, isoform b [Caenorhabditis elegans]"
3016 "gi|665390442|ref|NP_001285053.1| megalin, isoform C [Drosophila melanogaster]" "gi|392921318|ref|NP_001256465.1| Protein NID-1, isoform a [Caenorhabditis elegans]"
3017 "gi|665390442|ref|NP_001285053.1| megalin, isoform C [Drosophila melanogaster]" "gi|392921322|ref|NP_001256467.1| Protein NID-1, isoform c [Caenorhabditis elegans]"
3018 "gi|665390432|ref|NP_001285050.1| c11.1, isoform B [Drosophila melanogaster]" "gi|453225293|ref|NP_001263449.1| Protein HPO-27 [Caenorhabditis elegans]"
3019 "gi|665390421|ref|NP_001285047.1| CG17754, isoform G [Drosophila melanogaster]" "gi|392891875|ref|NP_001254310.1| Protein KEL-1, isoform a [Caenorhabditis elegans]"
3020 "gi|665390421|ref|NP_001285047.1| CG17754, isoform G [Drosophila melanogaster]" "gi|392896370|ref|NP_499241.3| Protein KEL-10 [Caenorhabditis elegans]"
3021 "gi|665390421|ref|NP_001285047.1| CG17754, isoform G [Drosophila melanogaster]" "gi|392921896|ref|NP_506605.2| Protein C53A5.9 [Caenorhabditis elegans]"
3022 "gi|665390419|ref|NP_001285046.1| CG17754, isoform F [Drosophila melanogaster]" "gi|392891875|ref|NP_001254310.1| Protein KEL-1, isoform a [Caenorhabditis elegans]"
3023 "gi|665390419|ref|NP_001285046.1| CG17754, isoform F [Drosophila melanogaster]" "gi|392896370|ref|NP_499241.3| Protein KEL-10 [Caenorhabditis elegans]"
3024 "gi|665390419|ref|NP_001285046.1| CG17754, isoform F [Drosophila melanogaster]" "gi|392921896|ref|NP_506605.2| Protein C53A5.9 [Caenorhabditis elegans]"
3025 "gi|665390417|ref|NP_001285045.1| CG17754, isoform E [Drosophila melanogaster]" "gi|392891875|ref|NP_001254310.1| Protein KEL-1, isoform a [Caenorhabditis elegans]"
3026 "gi|665390417|ref|NP_001285045.1| CG17754, isoform E [Drosophila melanogaster]" "gi|392896370|ref|NP_499241.3| Protein KEL-10 [Caenorhabditis elegans]"
3027 "gi|665390417|ref|NP_001285045.1| CG17754, isoform E [Drosophila melanogaster]" "gi|392921896|ref|NP_506605.2| Protein C53A5.9 [Caenorhabditis elegans]"
3028 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392926043|ref|NP_508915.3| Protein F35C8.2 [Caenorhabditis elegans]"
3029 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392892180|ref|NP_001254363.1| Protein MAX-2, isoform d [Caenorhabditis elegans]"
3030 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392926045|ref|NP_508916.3| Protein F35C8.1 [Caenorhabditis elegans]"
3031 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392922632|ref|NP_001256762.1| Protein GCK-3, isoform c [Caenorhabditis elegans]"
3032 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392920629|ref|NP_001256291.1| Protein Y42A5A.4, isoform a [Caenorhabditis elegans]"
3033 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392920625|ref|NP_001256289.1| Protein Y42A5A.4, isoform b [Caenorhabditis elegans]"
3034 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392920627|ref|NP_001256290.1| Protein Y42A5A.4, isoform c [Caenorhabditis elegans]"
3035 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392899410|ref|NP_001255295.1| Protein UNC-82, isoform f [Caenorhabditis elegans]"
3036 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392899412|ref|NP_001255296.1| Protein UNC-82, isoform d [Caenorhabditis elegans]"
3037 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392899408|ref|NP_501186.5| Protein UNC-82, isoform b [Caenorhabditis elegans]"
3038 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392899416|ref|NP_001255298.1| Protein UNC-82, isoform h [Caenorhabditis elegans]"
3039 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392899418|ref|NP_501185.5| Protein UNC-82, isoform a [Caenorhabditis elegans]"
3040 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392899414|ref|NP_001255297.1| Protein UNC-82, isoform g [Caenorhabditis elegans]"
3041 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392899406|ref|NP_001255294.1| Protein UNC-82, isoform e [Caenorhabditis elegans]"
3042 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392920994|ref|NP_001256395.1| Protein PKC-1, isoform a [Caenorhabditis elegans]"
3043 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392920992|ref|NP_001256394.1| Protein PKC-1, isoform b [Caenorhabditis elegans]"
3044 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392920996|ref|NP_001256396.1| Protein PKC-1, isoform c [Caenorhabditis elegans]"
3045 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392900834|ref|NP_001255558.1| Protein KIN-4, isoform b [Caenorhabditis elegans]"
3046 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392900820|ref|NP_001255551.1| Protein KIN-4, isoform g [Caenorhabditis elegans]"
3047 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392900824|ref|NP_001255553.1| Protein KIN-4, isoform d [Caenorhabditis elegans]"
3048 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392900830|ref|NP_001255556.1| Protein KIN-4, isoform h [Caenorhabditis elegans]"
3049 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392900822|ref|NP_001255552.1| Protein KIN-4, isoform c [Caenorhabditis elegans]"
3050 "gi|665390412|ref|NP_001285044.1| downstream of raf1, isoform B [Drosophila melanogaster]" "gi|392896679|ref|NP_499447.2| Protein RSKS-1 [Caenorhabditis elegans]"
3051 "gi|665390375|ref|NP_001285036.1| CG7766, isoform I [Drosophila melanogaster]" "gi|392898591|ref|NP_741355.3| Protein Y67D8A.2, isoform a [Caenorhabditis elegans]"
3052 "gi|665390375|ref|NP_001285036.1| CG7766, isoform I [Drosophila melanogaster]" "gi|392898589|ref|NP_500303.4| Protein Y67D8A.2, isoform b [Caenorhabditis elegans]"
3053 "gi|665390344|ref|NP_001285028.1| retinal degeneration A, isoform K [Drosophila melanogaster]" "gi|392896004|ref|NP_499031.3| Protein DGK-3 [Caenorhabditis elegans]"
3054 "gi|665390344|ref|NP_001285028.1| retinal degeneration A, isoform K [Drosophila melanogaster]" "gi|392899729|ref|NP_501476.2| Protein DGK-4, isoform a [Caenorhabditis elegans]"
3055 "gi|665390344|ref|NP_001285028.1| retinal degeneration A, isoform K [Drosophila melanogaster]" "gi|392899731|ref|NP_501477.2| Protein DGK-4, isoform b [Caenorhabditis elegans]"
3056 "gi|665390342|ref|NP_001285027.1| retinal degeneration A, isoform J [Drosophila melanogaster]" "gi|392896004|ref|NP_499031.3| Protein DGK-3 [Caenorhabditis elegans]"
3057 "gi|665390342|ref|NP_001285027.1| retinal degeneration A, isoform J [Drosophila melanogaster]" "gi|392899729|ref|NP_501476.2| Protein DGK-4, isoform a [Caenorhabditis elegans]"
3058 "gi|665390342|ref|NP_001285027.1| retinal degeneration A, isoform J [Drosophila melanogaster]" "gi|392899731|ref|NP_501477.2| Protein DGK-4, isoform b [Caenorhabditis elegans]"
3059 "gi|665390326|ref|NP_001285024.1| Palmitoyl-protein thioesterase 1, isoform B [Drosophila melanogaster]" "gi|392919290|ref|NP_504684.2| Protein PPT-1 [Caenorhabditis elegans]"
3060 "gi|665390295|ref|NP_001285019.1| optomotor-blind-related-gene-1, isoform B [Drosophila melanogaster]" "gi|392896670|ref|NP_499444.2| Protein TBX-37 [Caenorhabditis elegans]"
3061 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392901447|ref|NP_001255705.1| Protein LEV-1, isoform a [Caenorhabditis elegans]"
3062 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|453232793|ref|NP_508692.3| Protein ACR-10 [Caenorhabditis elegans]"
3063 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392901445|ref|NP_001255704.1| Protein LEV-1, isoform b [Caenorhabditis elegans]"
3064 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392926831|ref|NP_509556.4| Protein LGC-4 [Caenorhabditis elegans]"
3065 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392902000|ref|NP_001255866.1| Protein ACR-24, isoform a [Caenorhabditis elegans]"
3066 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392901998|ref|NP_001255865.1| Protein ACR-24, isoform b [Caenorhabditis elegans]"
3067 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392920743|ref|NP_001256321.1| Protein DES-2, isoform b [Caenorhabditis elegans]"
3068 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392920741|ref|NP_001256320.1| Protein DES-2, isoform a [Caenorhabditis elegans]"
3069 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392895552|ref|NP_498656.3| Protein LGC-12 [Caenorhabditis elegans]"
3070 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392922188|ref|NP_001256671.1| Protein LGC-31, isoform a [Caenorhabditis elegans]"
3071 "gi|665390281|ref|NP_001285015.1| nicotinic acetylcholine receptor alpha3, isoform C [Drosophila melanogaster]" "gi|392899222|ref|NP_500985.4| Protein LGC-10 [Caenorhabditis elegans]"
3072 "gi|665390265|ref|NP_001285012.1| sniffer, isoform B [Drosophila melanogaster]" "gi|392900320|ref|NP_001255457.1| Protein DHS-31, isoform b [Caenorhabditis elegans]"
3073 "gi|665390265|ref|NP_001285012.1| sniffer, isoform B [Drosophila melanogaster]" "gi|392900318|ref|NP_001255456.1| Protein DHS-31, isoform a [Caenorhabditis elegans]"
3074 "gi|665390241|ref|NP_001285006.1| smad on X, isoform B [Drosophila melanogaster]" "gi|392900409|ref|NP_001255476.1| Protein DAF-14, isoform a [Caenorhabditis elegans]"
3075 "gi|665390241|ref|NP_001285006.1| smad on X, isoform B [Drosophila melanogaster]" "gi|392900407|ref|NP_001255475.1| Protein DAF-14, isoform b [Caenorhabditis elegans]"
3076 "gi|665390194|ref|NP_001284996.1| tyramine beta hydroxylase, isoform C [Drosophila melanogaster]" "gi|392928102|ref|NP_001257265.1| Protein TBH-1, isoform a [Caenorhabditis elegans]"
3077 "gi|665390194|ref|NP_001284996.1| tyramine beta hydroxylase, isoform C [Drosophila melanogaster]" "gi|392928100|ref|NP_001257264.1| Protein TBH-1, isoform b [Caenorhabditis elegans]"
3078 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392894334|ref|NP_001254858.1| Protein LAF-1, isoform a [Caenorhabditis elegans]"
3079 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392894336|ref|NP_001254859.1| Protein LAF-1, isoform b [Caenorhabditis elegans]"
3080 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392921585|ref|NP_001256534.1| Protein F58G11.2, isoform b [Caenorhabditis elegans]"
3081 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392921583|ref|NP_001256533.1| Protein F58G11.2, isoform a [Caenorhabditis elegans]"
3082 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392921587|ref|NP_001256535.1| Protein F58G11.2, isoform c [Caenorhabditis elegans]"
3083 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392891038|ref|NP_001254186.1| Protein DDX-19, isoform d [Caenorhabditis elegans]"
3084 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392902146|ref|NP_001255908.1| Protein MEL-46, isoform b [Caenorhabditis elegans]"
3085 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392902148|ref|NP_001255909.1| Protein MEL-46, isoform a [Caenorhabditis elegans]"
3086 "gi|665390183|ref|NP_001284994.1| CG10777, isoform C [Drosophila melanogaster]" "gi|392895997|ref|NP_001254980.1| Protein ZK512.2, isoform a [Caenorhabditis elegans]"
